AJC		Bar Harbor Airlines
AJE		Aero Jet Express
AJF		Avia Consult Flugbetriebs
AJI		Ameristar Jet Charter
AJJ		A2 Jet Leasing
AJK		Allied Air
AJM	JM	Air Jamaica
AJO		Aeroejecutivo
AJP		Aero Jets Corporativos
AJS		Aeroejecutivos Colombia
AJT	M6	Amerijet International
AJU		Air Jetsul
AJV		ANA & JP Express
AJW		Alpha Jet International
AJX	NQ	Air Japan
AJY		Ajet
AKA		Air Korea Co. Ltd.
AKB		Aktjubavia
AKC		Arca Aerovias Colombianas Ltda.
AKF		Anikay Air Company
AKG		84 Squadron Royal Air Force @ RAF Akrotiri
AKH		Akhal
AKI		Ibk-Petra
AKJ	QP	Akasa Air
AKK		Aklak Air
AKL	4A	Air Kiribati
AKM		Mak Air
AKN		Alkan Air
AKT	V2	Karat
AKW		Angkor Airways
AKX	EH	ANA Wings
AKY		Yak-Service
AKZ		AK Navigator LLC
ALB		Aero Albatros
ALC		Southern Jersey Airways, Inc.
ALD		Albion Aviation
ALE		Aeroalas Colombia
ALF		Allied Command Europe (Mobile Force)
ALG		Air Logistics
ALJ		Heli Ambulance Team
ALK	UL	SriLankan Airlines
ALL		Aerovallarta
ALM		Air ALM
ALN		Air Lincoln
ALO		Allegheny Commuter Airlines
ALP		Alpliner AG
ALQ		Altair Aviation (1986)
ALR		Lineas Aereas Alaire S.L.
ALU		Air Luxor STP
ALV		Alas de Venezuela
ALW		Alas Nacionales, S.A.
ALX	EO	Hewa Bora Airways
ALY		Alyeska Air Service
ALZ		Alta Flights (Charters) Ltd.
AMA		ATMA
AMB		Deutsche Rettungsflugwacht
AMC	KM	Air Malta
AMD		Aerolineas Medellin
AME		Spanish Air Force
AMF	A8	Ameriflight
AMG		Air Minas Linhas Aéreas
AMH		Alan Mann Helicopters Ltd.
AMI		Air Maldives
AMJ		Aviation Amos
AMK		Amerer Air
AML	QM	Air Malawi
AMM		Aeroputul International Marculesti
AMN		Air Montenegro
AMO		Air Montreal (Air Holdings Inc.)
AMP		Aero Transporte S.A. (ATSA)
AMQ		Aeromedicare Ltd.
AMR		Air Specialties Corporation
AMS		Air Muskoka
AMT	TZ	ATA Airlines
AMU	NX	Air Macau
AMV		AMC Airlines
AMW	ZV	Air Midwest
AMX	AM	Aeroméxico
AMY		Air Ambar
AMZ		Amiya Airline
ANA	NH	All Nippon Airways
ANB		Air Navigation And Trading Co. Ltd.
ANC		Anglo Cargo
AND		National Jet Service
ANE	YW	Air Nostrum
ANG	PX	Air Niugini
ANH		Alajnihah for Air Transport
ANI		Air Atlantic (Nig) Limited
ANK	EL	Air Nippon
ANL		Nacoia Lda
ANM		Antares Airtransport, Maintenance & Service Gm
ANO	TL	Airnorth
ANQ		Aerolínea de Antioquia
ANS		Andes Lineas Aereas
ANT	4N	Air North Charter - Canada
ANV		Air Nevada
ANW		Aviación del Noroeste
ANX		Secretaria de Marina
ANZ	NZ	Air New Zealand
AOA		Alcon Servicios Aereos, S.A. de C.V.
AOD		Aero Vodochody
AOE		Air One Executive
AOF		Atair Pty Ltd.
AOG		Aero VIP
AOI		Astoria, Inc.
AOK		Aeroatlantico Colombia
AOL		Angkor Airlines
AOM	IW	AOM French Airlines
AON		Aero Entreprise
AOO		As, Opened Joint Stock Company
AOP		Aeropiloto
AOR		Afro International Ent. Limited
AOS		Servicios Aerecs Del Sol, S.A. de C.V.
AOT	OE	Asia Overnight Express
AOU		Air Tractor
AOV		Aero Vision
AOX		Aerotaxi Del Valle
APA		Air Park Aviation Ltd.
APC		Airpac Airlines, Inc.
APD		Sabre Pacific
APE		Parcel Express
APF		Amapola Flyg AB
APG		Air People International
APH		Alpha Aviation, Inc.
API		ASA Pesada, Lda.
APJ	MM	Peach
APL		Appalachian Flying Service, Inc.
APM		Airpac, Inc.
APO		Aeropro
APP		Aerolineas Pacifico Atlantico, S.A. (Apair)
APQ		Aspen Aviation
APT		LAP Colombia - Lineas Aereas Petroleras, S.A.
APU		Aeropuma, S.A.
APV		Air Plan International
APX		Apex Air Cargo
APY		APA Internacional
APZ	YP	Air Premia
AQA		Aeroatlas, S.A.
AQL		Aquila Air Ltd.
AQN		Air Queensland
AQO		Aluminum Company Of America
AQT		Aviones de Renta de Quintana Roo, S.A. de C.V.
AQU		AirQuarius Aviation
AQZ		Aerodyne Charter Company
ARA		Arik Air
ARB		Avia Air N.V.
ARC		Air Routing International Corp.
ARD	2B	Aerocondor
ARE	4C	Aires, Aerovias de Integracion Regional, S.A.
ARG	AR	Aerolíneas Argentinas
ARH		Arrowhead Airways
ARI		Aero Vics
